317,2,mustard oil 
376,3,asafoetida 
317,3,mustard oil 
385,5,curry leaf 
317,6,mustard oil 
376,7,asafoetida 
317,7,mustard oil 
376,8,asafoetida 
317,8,mustard oil 
376,12,asafoetida 
317,12,mustard oil 
376,13,asafoetida 
385,13,curry leaf 
317,13,mustard oil 
376,14,asafoetida 
317,14,mustard oil 
376,17,asafoetida 
317,17,mustard oil 
376,18,asafoetida 
317,18,mustard oil 
376,19,asafoetida 
317,19,mustard oil 
376,20,asafoetida 
317,20,mustard oil 
376,21,asafoetida 
317,21,mustard oil 
317,22,mustard oil 
317,23,mustard oil 
385,24,curry leaf 
381,26,carom seed 
381,29,carom seed 
376,32,asafoetida 
381,34,carom seed 
376,37,asafoetida 
317,37,mustard oil 
376,41,asafoetida 
317,41,mustard oil 
376,44,asafoetida 
376,47,asafoetida 
376,49,asafoetida 
376,52,asafoetida 
317,55,mustard oil 
376,57,asafoetida 
376,60,asafoetida 
317,60,mustard oil 
317,66,mustard oil 
376,67,asafoetida 
376,72,asafoetida 
376,77,asafoetida 
317,77,mustard oil 
385,84,curry leaf 
385,85,curry leaf 
317,89,mustard oil 
376,94,asafoetida 
317,94,mustard oil 
381,98,carom seed 
376,100,asafoetida 
385,100,curry leaf 
317,100,mustard oil 
993,108,yeast 
381,117,carom seed 
317,117,mustard oil 
385,118,curry leaf 
317,118,mustard oil 
381,119,carom seed 
317,121,mustard oil 
385,122,curry leaf 
317,122,mustard oil 
317,124,mustard oil 
317,127,mustard oil 
376,133,asafoetida 
385,137,curry leaf 
376,142,asafoetida 
385,142,curry leaf 
317,142,mustard oil 
376,145,asafoetida 
385,147,curry leaf 
317,147,mustard oil 
376,150,asafoetida 
385,150,curry leaf 
317,150,mustard oil 
376,151,asafoetida 
376,154,asafoetida 
376,159,asafoetida 
381,165,carom seed 
376,167,asafoetida 
376,171,asafoetida 
385,175,curry leaf 
385,179,curry leaf 
317,179,mustard oil 
376,181,asafoetida 
317,181,mustard oil 
317,182,mustard oil 
385,183,curry leaf 
376,185,asafoetida 
376,186,asafoetida 
317,186,mustard oil 
376,190,asafoetida 
385,190,curry leaf 
317,190,mustard oil 
385,191,curry leaf 
317,191,mustard oil 
376,193,asafoetida 
317,196,mustard oil 
376,197,asafoetida 
376,199,asafoetida 
317,199,mustard oil 
385,201,curry leaf 
317,201,mustard oil 
317,204,mustard oil 
376,206,asafoetida 
376,212,asafoetida 
376,213,asafoetida 
317,213,mustard oil 
376,214,asafoetida 
376,223,asafoetida 
317,223,mustard oil 
376,225,asafoetida 
381,225,carom seed 
317,225,mustard oil 
376,226,asafoetida 
381,226,carom seed 
381,227,carom seed 
376,228,asafoetida 
993,229,yeast 
376,230,asafoetida 
376,235,asafoetida 
376,236,asafoetida 
381,236,carom seed 
385,240,curry leaf 
376,247,asafoetida 
385,247,curry leaf 
376,248,asafoetida 
385,249,curry leaf 
317,249,mustard oil 
385,250,curry leaf 
317,250,mustard oil 
385,251,curry leaf 
376,252,asafoetida 
317,252,mustard oil 
385,253,curry leaf 
376,259,asafoetida 
317,259,mustard oil 
385,260,curry leaf 
317,260,mustard oil 
317,261,mustard oil 
376,266,asafoetida 
385,266,curry leaf 
317,266,mustard oil 
376,269,asafoetida 
385,269,curry leaf 
317,269,mustard oil 
385,270,curry leaf 
317,270,mustard oil 
317,271,mustard oil 
376,272,asafoetida 
385,272,curry leaf 
317,272,mustard oil 
376,273,asafoetida 
385,273,curry leaf 
317,273,mustard oil 
376,274,asafoetida 
376,278,asafoetida 
385,278,curry leaf 
317,278,mustard oil 
376,282,asafoetida 
317,282,mustard oil 
376,284,asafoetida 
376,285,asafoetida 
385,288,curry leaf 
317,288,mustard oil 
376,289,asafoetida 
385,289,curry leaf 
317,289,mustard oil 
376,290,asafoetida 
376,294,asafoetida 
385,294,curry leaf 
317,294,mustard oil 
385,298,curry leaf 
317,298,mustard oil 
376,299,asafoetida 
385,299,curry leaf 
317,299,mustard oil 
385,300,curry leaf 
317,300,mustard oil 
376,303,asafoetida 
385,303,curry leaf 
317,303,mustard oil 
376,304,asafoetida 
317,304,mustard oil 
385,306,curry leaf 
