id,nome
413,Neryl glucoside
414,Neryl arabinofuranosyl-glucoside
418,Galactosyl 4-hydroxyproline
419,4-Hydroxyproline galactoside
420,N-Phenylacetylaspartic acid
422,Betavulgaroside I
423,5Z-Octenyl acetate
424,"(R)-1,3-Octanediol"
427,"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol"
429,Salsolinol
430,(S)-Salsolinol
432,Moupinamide
435,N-Methyltyramine
439,O-Methylcorypalline
440,alpha-Solanigrine
441,gamma2-Solamarine
442,2'-Hydroxydaidzein
443,Solacauline
444,"(E,E)-Trichostachine"
445,L-Tyrosine ethyl ester hydrochloride
446,L-Tyrosine
447,Papaverine
449,Piperine
450,Chavicine
451,Isochavicine
452,Isopiperine
453,Theophylline
455,Theobromine
460,Chlorogenoquinone
461,L-Saccharopine
463,L-Stachydrine
467,Isodesmosine
468,L-3-Aminodihydro-2(3H)-furanone
474,L-Lysine
475,L-Lysine hydrochloride
476,N6-Acetyl-L-lysine
477,"1-(3,4-Dimethoxyphenyl)ethanone"
479,gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine
480,Homoglutathione
482,N-gamma-L-Glutamyl-L-isoleucine
483,N-gamma-L-Glutamyl-L-valine
484,Glycine
488,Ochratoxin A
491,L-2-Amino-3-(oxalylamino)propanoic acid
493,"(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside"
494,Neobetanin
495,Amaranthin
496,Betanidin
497,Betanin
499,2-Acetyl-3-ethylpyrazine
500,Prebetanin
501,Isobetanidin
504,L-2-Amino-4-(aminooxy)butanoic acid
505,L-Canavanine
508,"NG,NG-Dimethyl-L-arginine"
509,"NG,N'G-Dimethyl-L-arginine"
512,Cycloalliin
514,Syringic acid
515,Thaumatin
516,Desmosine
518,"(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol"
520,L-Histidine trimethylbetaine
521,Homoserine
522,L-Homoserine
523,O-Acetylhomoserine
524,L-4-Hydroxyglutamine
525,L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid
529,L-Hypoglycin A
530,Hypoglycin B
534,S-Methylcysteine sulfoxide
537,L-4-Methylene-2-pyrrolidinecarboxylic acid
538,(±)-4-Methylene-2-pyrrolidinecarboxylic acid
540,Lysozyme
545,Pipecolic acid
546,L-Pipecolic acid
547,Deoxyalliin
549,Isoalliin
550,S-Propylcysteine sulfoxide
551,(R)C(R)S-S-Propylcysteine sulfoxide
552,(R)C(S)S-S-Propylcysteine sulfoxide
556,L-Alanine
557,(±)-Alanine
558,Alliin
561,2-Amino-4-hydroxy-3-methylpentanoic acid
562,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid"
565,alpha-Tocopherol
567,L-DOPA
568,L-DOPA 3'-glucoside
569,Aspartame
570,L-Proline
571,Carnitine
572,L-carnitine
574,Pyridoxine
575,Pyridoxine hydrochloride
578,Xanthotoxol
579,Oryzarol
586,Erosnin
588,Eugenitin
589,Dolichin B
590,Dolichin A
591,Eupatilin
592,Isodillapiole
595,Isoeugenitin
600,Isolimocitrol
601,Isomangiferin
602,Isoorientin 2''-glucoside
603,Isorhamnetin 3-dirhamnoside
604,Isorhamnetin
605,Isorhamnetin 3-galactoside
606,Isorhamnetin 7-glucoside
607,Isorhamnetin 3-sophoroside 7-glucoside
608,Isorhamnetin 7-rhamnoside
609,Isorhamnetin 3-rutinoside
610,Isosakuranetin
611,Isosakuranetin 7-glucoside
612,Didymin
613,Isotheaflavin
614,Isovitexin
615,Isovitexin 2''-glucoside
620,Farnesiferol A
623,Isoferreirin
624,Fisetin
626,Formononetin 7-(6''-malonylglucoside)
628,Trigoforin
633,Kaempferol
634,Kaempferol 3-glucuronide
635,Kaempferol 7-rhamnofuranoside
636,Kaempferol 3-arabinoside
638,Cannithrene 2
642,Mulberrin
645,Garcinone B
646,Garcinone C
652,Limocitrin
653,Limocitrin 3-glucoside
655,Liquiritigenin
657,Galangin
658,3-Methylgalangin
661,Raffinose
662,Gallic acid
663,Methyl gallate
666,Sanguiin H6
668,Gemin D
669,6''-O-Acetylgenistin
670,6''-Malonylgenistin
678,(S)-Naringenin
679,Safflor Yellow A
680,Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside
682,Xenognosin A
683,Nobiletin
687,(-)-Ligballinol
689,Eriodictyol 7-glucoside
